folio,depto,area,nro,s09a_01a,s09a_01b,s09a_01c,s09a_01d,s09a_01e,s09a_01f,s09a_01g,s09a_01h,s09a_01i,s09a_01j,s09a_01k,s09a_01l,s09a_01le,s09a_02,s09a_03_1,s09a_03_2,s09a_03_3,s09a_03_4,s09a_03_5,s09a_03_5e,s09a_04,s09a_04e,s09a_05_1,s09a_05_2,s09a_05_3,s09a_05_4,s09a_05_5,s09a_05_6,s09a_05_7,s09a_05_8,s09a_05_8e,s09b_01,s09b_02a,s09b_02b,s09b_02e,s09b_03,s09b_04,upm_x,estrato_x,ponderador,suf_disc,n_motivos,victima,inseguridad,denuncia,material_paredes_noble,piso_noble,agua_red,saneamiento,electricidad,basura_recogida,combustible_limpio,internet,vivienda_propia,n_cuartos,n_dormitorios,hacinamiento,totper,sexo,edad,anios_educ,indigena,lengua_grupo,alfabetizado,ocupado,desocupado,log_ylab,log_yhogpc,pobre,pobre_extremo,factor,upm_y,estrato_y
213-001428-A-0021,La Paz,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,4.0,213-001428-A,213,1.512112831398832,0,0,0,1,0,1,0,1,1,1,1,1,1,0,2.0,2.0,1.0,2.0,Mujer,33.0,17.0,0,Castellano,1,1,0,7.0909098220799835,6.398594934535208,1,1,411.4789201100997,213-001428-A,213
213-001428-A-0161,La Paz,Urbano,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,1.0,8.0,,,,1.0,213-001428-A,213,1.5121128313988317,1,3,0,1,0,1,1,1,1,1,1,1,1,1,4.0,2.0,0.75,3.0,Mujer,16.0,10.0,0,Castellano,1,1,0,,7.3086172797316244,1,0,411.4789201100997,213-001428-A,213
213-001428-A-0191,La Paz,Urbano,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,3.0,213-001428-A,213,1.512112831398832,0,0,0,0,0,1,1,1,1,1,1,1,1,0,2.0,2.0,2.5,5.0,Mujer,27.0,17.0,0,Castellano,1,1,0,,7.120579163668992,1,0,411.4789201100997,213-001428-A,213
213-001428-A-0231,La Paz,Urbano,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,1.0,2.0,1.0,2.0,2.0,,2.0,,,,,,,,,,,1.0,8.0,,,,3.0,213-001428-A,213,1.5121128313988317,1,2,0,1,1,1,1,1,1,1,1,1,1,0,2.0,2.0,2.0,4.0,Hombre,45.0,12.0,1,Originaria,1,1,0,8.422332910392278,7.235348931652811,1,0,411.4789201100997,213-001428-A,213
213-001428-A-0261,La Paz,Urbano,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,,2.0,,,,,,,,,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,,1.0,8.0,,,,4.0,213-001428-A,213,1.512112831398832,1,3,0,1,0,1,0,1,1,1,1,1,1,0,1.0,1.0,3.0,3.0,Hombre,32.0,17.0,1,Castellano,1,1,0,8.939318804445994,7.84096871005805,0,0,411.4789201100997,213-001428-A,213
213-001428-A-0051,La Paz,Urbano,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,,2.0,8.0,,,,3.0,213-001428-A,213,1.512112831398832,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1.0,1.0,5.0,5.0,Hombre,47.0,17.0,0,Castellano,1,1,0,7.244941546337007,6.688354713946762,1,0,411.4789201100997,213-001428-A,213
213-001428-A-0091,La Paz,Urbano,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,2.0,8.0,,,,2.0,213-001428-A,213,1.512112831398832,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1.0,1.0,5.0,5.0,Hombre,25.0,17.0,0,Castellano,1,1,0,,6.175867270105761,1,1,411.4789201100997,213-001428-A,213
213-001428-A-0121,La Paz,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,2.0,,,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,,,2.0,2.0,213-001428-A,213,1.512112831398832,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1.0,1.0,3.0,3.0,Mujer,35.0,10.0,1,Castellano,1,1,0,6.55250788703459,7.1135491919612335,1,0,411.4789201100997,213-001428-A,213
213-001778-A-0011,La Paz,Urbano,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,4.0,213-001778-A,213,1.0039210648023376,0,0,0,1,0,1,0,1,1,1,1,1,1,1,5.0,4.0,1.0,5.0,Hombre,46.0,12.0,0,Castellano,1,1,0,8.016977746762262,7.584112265407168,0,0,273.18884347969066,213-001778-A,213
213-001778-A-0061,La Paz,Urbano,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,4.0,213-001778-A,213,1.0039210648023376,0,0,0,1,0,1,0,1,1,1,1,1,1,1,2.0,1.0,1.0,2.0,Mujer,73.0,4.0,1,Castellano,1,1,0,,6.49501373116275,1,1,273.18884347969066,213-001778-A,213
213-001778-A-0081,La Paz,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,4.0,213-001778-A,213,1.0039210648023376,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1.0,1.0,2.0,2.0,Mujer,26.0,12.0,0,Castellano,1,1,0,9.081938657171658,8.388905171114706,0,0,273.18884347969066,213-001778-A,213
213-001778-A-0181,La Paz,Urbano,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,,2.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,3.0,8.0,,,,1.0,213-001778-A,213,1.0039210648023376,1,4,0,0,0,1,1,1,1,1,1,1,1,0,2.0,2.0,2.5,5.0,Hombre,19.0,12.0,0,Castellano,1,1,0,,6.111467339502679,1,1,273.18884347969066,213-001778-A,213
213-001778-A-0251,La Paz,Urbano,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,,1.0,1.0,2.0,1.0,2.0,2.0,,2.0,,,,,,,,,,,2.0,1.0,,,2.0,1.0,213-001778-A,213,1.0039210648023376,1,4,1,1,1,1,0,1,1,1,1,1,1,0,2.0,2.0,2.5,5.0,Mujer,30.0,10.0,0,Castellano,1,1,0,7.313886831633462,6.608000625296087,1,1,273.18884347969066,213-001778-A,213
213-001778-A-0031,La Paz,Urbano,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,4.0,213-001778-A,213,1.0039210648023376,0,0,0,1,0,1,0,1,1,1,1,1,1,1,3.0,2.0,0.67,2.0,Mujer,78.0,4.0,0,Castellano,1,1,0,,7.853993087224244,0,0,273.18884347969066,213-001778-A,213
213-001778-A-0101,La Paz,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,2.0,,,,,,,,,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,2.0,8.0,,,,4.0,213-001778-A,213,1.0039210648023376,1,1,0,1,0,0,0,1,1,1,1,1,0,0,2.0,1.0,0.5,1.0,Hombre,64.0,6.0,0,Castellano,1,1,0,,5.940609726298264,1,1,273.18884347969066,213-001778-A,213
213-001778-A-0131,La Paz,Urbano,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,4.0,213-001778-A,213,1.0039210648023376,0,0,0,0,0,1,1,1,1,1,1,1,0,1,3.0,3.0,1.33,4.0,Mujer,22.0,17.0,0,Castellano,1,1,0,,7.032609608173522,1,0,273.18884347969066,213-001778-A,213
213-001778-A-0151,La Paz,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,2.0,213-001778-A,213,1.0039210648023376,0,0,0,1,0,1,1,1,1,1,1,1,1,1,4.0,3.0,1.0,4.0,Hombre,54.0,17.0,1,Castellano,1,1,0,9.210440366976517,8.181417333360928,0,0,273.18884347969066,213-001778-A,213
213-001778-A-0201,La Paz,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,2.0,213-001778-A,213,1.0039210648023376,0,0,0,1,0,1,0,1,1,1,1,1,0,0,2.0,2.0,2.0,4.0,Hombre,42.0,12.0,1,Castellano,1,1,0,7.170119543449628,6.767438992923429,1,0,273.18884347969066,213-001778-A,213
213-001778-A-0231,La Paz,Urbano,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,POR SU CREENCIA RELIGIOSA,3.0,8.0,,,,2.0,213-001778-A,213,1.0039210648023376,1,2,0,0,0,0,0,1,1,1,1,1,0,1,1.0,1.0,1.0,1.0,Mujer,67.0,4.0,1,Originaria,1,1,0,5.850476836237875,6.588330220565052,1,1,273.18884347969066,213-001778-A,213
213-001778-A-0271,La Paz,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,4.0,213-001778-A,213,1.0039210648023376,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1.0,1.0,2.0,2.0,Mujer,34.0,17.0,1,Castellano,1,1,0,8.42126945428348,7.728342384521406,0,0,273.18884347969066,213-001778-A,213
212-000421-A-0021,La Paz,Urbano,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,,2.0,8.0,,,,1.0,212-000421-A,212,0.9795267407509417,1,1,0,1,0,1,0,1,1,1,1,1,1,0,2.0,2.0,2.0,4.0,Hombre,39.0,17.0,0,Castellano,1,1,0,8.006700845440367,6.716594773520978,1,0,266.55061522776947,212-000421-A,212
